episode_id,target_side,chunk_index,progress_pregrasp,seed,energy_left,energy_right,left_logit_energy_right_minus_left
2026_08_17_02_29_03_938361_L1_left_C2,left,6,0.717948717948718,0,0.20780318975448608,0.20118969678878784,-0.006613492965698242
2026_08_17_02_29_03_938361_L1_left_C2,left,6,0.717948717948718,1,0.20203493535518646,0.19515252113342285,-0.006882414221763611
2026_08_17_02_29_03_938361_L1_left_C2,left,6,0.717948717948718,2,0.2215811014175415,0.21484538912773132,-0.006735712289810181
2026_08_17_02_29_03_938361_L1_left_C2,left,7,0.8205128205128205,0,0.33239662647247314,0.3346949815750122,0.0022983551025390625
2026_08_17_02_29_03_938361_L1_left_C2,left,7,0.8205128205128205,1,0.22535978257656097,0.2304648756980896,0.0051050931215286255
2026_08_17_02_29_03_938361_L1_left_C2,left,7,0.8205128205128205,2,0.32927045226097107,0.328884094953537,-0.00038635730743408203
2026_08_17_02_29_03_938361_L1_left_C2,left,8,0.9230769230769231,0,0.31401997804641724,0.3222140669822693,0.00819408893585205
2026_08_17_02_29_03_938361_L1_left_C2,left,8,0.9230769230769231,1,0.2806718647480011,0.28829100728034973,0.007619142532348633
2026_08_17_02_29_03_938361_L1_left_C2,left,8,0.9230769230769231,2,0.33393633365631104,0.3417620062828064,0.007825672626495361
2026_08_17_02_29_03_938361_L1_left_C2,left,9,1.0,0,0.3379184901714325,0.33802321553230286,0.00010472536087036133
2026_08_17_02_29_03_938361_L1_left_C2,left,9,1.0,1,0.2941388487815857,0.29482752084732056,0.0006886720657348633
2026_08_17_02_29_03_938361_L1_left_C2,left,9,1.0,2,0.2047935575246811,0.20479293167591095,-6.258487701416016e-07
2026_08_17_02_30_47_786891_L1_right_C2,right,0,0.10256410256410256,0,0.36283570528030396,0.3131410777568817,-0.04969462752342224
2026_08_17_02_30_47_786891_L1_right_C2,right,0,0.10256410256410256,1,0.3549126088619232,0.3214201331138611,-0.033492475748062134
2026_08_17_02_30_47_786891_L1_right_C2,right,0,0.10256410256410256,2,0.3855600953102112,0.31528666615486145,-0.07027342915534973
2026_08_17_02_30_47_786891_L1_right_C2,right,1,0.20512820512820512,0,0.19484268128871918,0.16520558297634125,-0.02963709831237793
2026_08_17_02_30_47_786891_L1_right_C2,right,1,0.20512820512820512,1,0.26841261982917786,0.27206432819366455,0.0036517083644866943
2026_08_17_02_30_47_786891_L1_right_C2,right,1,0.20512820512820512,2,0.20083466172218323,0.1497989296913147,-0.05103573203086853
2026_08_17_02_30_47_786891_L1_right_C2,right,2,0.3076923076923077,0,0.2711015045642853,0.29133060574531555,0.020229101181030273
2026_08_17_02_30_47_786891_L1_right_C2,right,2,0.3076923076923077,1,0.29121771454811096,0.29747459292411804,0.00625687837600708
2026_08_17_02_30_47_786891_L1_right_C2,right,2,0.3076923076923077,2,0.2802160978317261,0.30630195140838623,0.026085853576660156
2026_08_17_02_30_47_786891_L1_right_C2,right,3,0.41025641025641024,0,0.1788102686405182,0.19921083748340607,0.02040056884288788
2026_08_17_02_30_47_786891_L1_right_C2,right,3,0.41025641025641024,1,0.1317378133535385,0.14587964117527008,0.014141827821731567
2026_08_17_02_30_47_786891_L1_right_C2,right,3,0.41025641025641024,2,0.2248459756374359,0.26028260588645935,0.03543663024902344
2026_08_17_02_30_47_786891_L1_right_C2,right,4,0.5128205128205128,0,0.33010873198509216,0.4020722806453705,0.07196354866027832
2026_08_17_02_30_47_786891_L1_right_C2,right,4,0.5128205128205128,1,0.19341421127319336,0.24052441120147705,0.04711019992828369
2026_08_17_02_30_47_786891_L1_right_C2,right,4,0.5128205128205128,2,0.4371744990348816,0.5112074017524719,0.07403290271759033
2026_08_17_02_30_47_786891_L1_right_C2,right,5,0.6153846153846154,0,0.2611042559146881,0.30560654401779175,0.04450228810310364
2026_08_17_02_30_47_786891_L1_right_C2,right,5,0.6153846153846154,1,0.33117884397506714,0.36893799901008606,0.03775915503501892
2026_08_17_02_30_47_786891_L1_right_C2,right,5,0.6153846153846154,2,0.2244829386472702,0.25490227341651917,0.030419334769248962
2026_08_17_02_30_47_786891_L1_right_C2,right,6,0.717948717948718,0,0.3102395534515381,0.37028059363365173,0.06004104018211365
2026_08_17_02_30_47_786891_L1_right_C2,right,6,0.717948717948718,1,0.27158209681510925,0.31439563632011414,0.04281353950500488
2026_08_17_02_30_47_786891_L1_right_C2,right,6,0.717948717948718,2,0.23597228527069092,0.28318098187446594,0.047208696603775024
2026_08_17_02_30_47_786891_L1_right_C2,right,7,0.8205128205128205,0,0.34936287999153137,0.37782543897628784,0.02846255898475647
2026_08_17_02_30_47_786891_L1_right_C2,right,7,0.8205128205128205,1,0.3360627293586731,0.3600684106349945,0.02400568127632141
2026_08_17_02_30_47_786891_L1_right_C2,right,7,0.8205128205128205,2,0.31277596950531006,0.33725112676620483,0.024475157260894775
2026_08_17_02_30_47_786891_L1_right_C2,right,8,0.9230769230769231,0,0.287842333316803,0.30021002888679504,0.012367695569992065
2026_08_17_02_30_47_786891_L1_right_C2,right,8,0.9230769230769231,1,0.39791303873062134,0.4104999303817749,0.012586891651153564
2026_08_17_02_30_47_786891_L1_right_C2,right,8,0.9230769230769231,2,0.3260520100593567,0.3396722674369812,0.013620257377624512
2026_08_17_02_30_47_786891_L1_right_C2,right,9,1.0,0,0.41346505284309387,0.41137072443962097,-0.0020943284034729004
2026_08_17_02_30_47_786891_L1_right_C2,right,9,1.0,1,0.4123249351978302,0.41031232476234436,-0.00201261043548584
2026_08_17_02_30_47_786891_L1_right_C2,right,9,1.0,2,0.28141671419143677,0.2803335189819336,-0.0010831952095031738
