prompt_family,episode_id,chunk_index,num_seeds,original_margin_mean,flipped_margin_mean,margin_delta_mean,margin_delta_sd,same_sign_rate
color,2026_08_18_00_54_32_747715_L3_left_C0,0,10,-0.00991266369819641,0.07327632009983062,0.08318898379802704,0.020935262472643445,0.4
color,2026_08_18_00_54_32_747715_L3_left_C0,1,10,-0.015963165462017058,-0.0065398022532463075,0.009423363208770751,0.011031095599665036,0.8
color,2026_08_18_00_54_32_747715_L3_left_C0,2,10,-0.02613436132669449,-0.05141824334859848,-0.025283882021903993,0.016162956394331622,1.0
color,2026_08_18_00_54_32_747715_L3_left_C0,3,10,0.005677820742130279,-0.06219367235898972,-0.06787149310111999,0.020870154878095303,0.1
color,2026_08_18_00_54_32_747715_L3_left_C0,4,10,0.03139723092317581,0.01959046721458435,-0.011806763708591461,0.014627719512781818,0.9
color,2026_08_18_00_54_32_747715_L3_left_C0,5,10,0.07642709016799927,0.06271795630455017,-0.013709133863449097,0.01581706581324603,1.0
color,2026_08_18_00_54_32_747715_L3_left_C0,6,10,-0.00041145682334899905,0.01503211110830307,0.01544356793165207,0.003944491575638681,0.4
color,2026_08_18_00_54_32_747715_L3_left_C0,7,10,0.0482974573969841,0.057308584451675415,0.009011127054691315,0.008600673143142569,1.0
color,2026_08_18_00_55_01_843645_L3_left_C1,0,10,0.03401387631893158,0.06211108565330505,0.028097209334373475,0.022628291873004948,1.0
color,2026_08_18_00_55_01_843645_L3_left_C1,1,10,-0.02283826917409897,-0.03676507622003555,-0.013926807045936584,0.020303211403478162,0.9
color,2026_08_18_00_55_01_843645_L3_left_C1,2,10,-0.03399805426597595,0.044641172885894774,0.07863922715187073,0.01556802761237646,0.0
color,2026_08_18_00_55_01_843645_L3_left_C1,3,10,-0.04919909089803696,0.04808052182197571,0.09727961272001266,0.01265741510939795,0.0
color,2026_08_18_00_55_01_843645_L3_left_C1,4,10,-0.031409038603305815,-0.002613161504268646,0.028795877099037172,0.009554718848979711,0.6
