prompt_family,episode_id,num_paired_chunk_seeds,mean_original_margin,mean_flipped_margin,mean_margin_delta_flip_minus_original,mean_absolute_margin_delta,same_sign_rate,opposite_sign_rate,correlation_with_original
color,2026_08_18_00_53_23_339528_L3_right_C1,90,-0.012390485571490393,-0.019751483781470194,-0.007360998209979799,0.033847281750705505,0.7555555555555555,0.24444444444444444,0.4040966061633967
color,2026_08_18_00_53_52_283658_L3_right_C2,100,-0.012298394739627839,-0.008953751772642135,0.0033446429669857025,0.03087006852030754,0.87,0.13,0.4515322233635114
color,2026_08_18_00_54_32_747715_L3_left_C0,80,0.013672243990004062,0.013471715152263641,-0.0002005288377404213,0.030534976162016392,0.7,0.3,0.5335974561047205
color,2026_08_18_00_55_01_843645_L3_left_C1,90,0.002924716058704588,0.014644794497225019,0.011720078438520432,0.04478545147511694,0.6111111111111112,0.3888888888888889,0.18292665106807646
color,2026_08_18_00_55_32_860317_L3_left_C2,110,0.005497630888765508,0.016095209324901754,0.010597578436136245,0.02526137496937405,0.7,0.3,0.5921012974636635
color,2026_08_18_00_56_19_492037_L3_right_C0,80,0.034562108013778924,0.0606679811142385,0.026105873100459576,0.05453564058989287,0.875,0.125,0.446163028075377
color,2026_08_18_00_56_48_148319_L3_right_C1,90,0.03674746106068293,0.0462178621855047,0.009470401124821769,0.043296335554785195,0.7333333333333333,0.26666666666666666,0.2551174105610564
color,2026_08_18_00_57_15_980084_L3_right_C2,100,0.029633352458477022,0.015222287327051163,-0.014411065131425857,0.024332715719938277,0.67,0.33,0.32239549567313175
color,2026_08_18_00_57_54_988496_L3_left_C0,80,0.0306861718185246,0.026865401677787303,-0.0038207701407372953,0.03986429227516055,0.8,0.2,0.535368870549948
color,2026_08_18_00_58_22_709133_L3_left_C1,90,0.019488470256328584,0.024253530386421415,0.004765060130092833,0.03953887398044268,0.8333333333333334,0.16666666666666666,0.5519913563090404
color,2026_08_18_00_59_48_029579_L3_left_C2,100,0.018080097287893296,0.04013719290494919,0.02205709561705589,0.029218244701623916,0.87,0.13,0.7961394907413832
side,2026_08_18_00_40_18_199635_L1_left_C0,80,-0.032194459717720746,-0.02270992612466216,0.009484533593058586,0.022938822954893114,0.825,0.175,0.6403163259298674
side,2026_08_18_00_40_47_448240_L1_left_C1,80,-0.017368027195334434,-0.0017771907150745392,0.015590836480259895,0.020400016009807585,0.675,0.325,0.8530711476196425
side,2026_08_18_00_41_27_880068_L1_left_C2,100,-0.001102973073720932,-0.00874628022313118,-0.007643307149410247,0.014151029288768768,0.81,0.19,0.8537094493872837
side,2026_08_18_00_45_28_073578_L1_right_C0,80,-0.014575687050819398,-0.00912078246474266,0.005454904586076737,0.012156878411769868,0.825,0.175,0.65671261195977
side,2026_08_18_00_45_56_961481_L1_right_C1,80,-0.015814884938299655,0.009260976314544677,0.025075861252844334,0.030907308496534825,0.525,0.475,0.02372584190652494
side,2026_08_18_00_46_25_193744_L1_right_C2,100,-0.015943441689014435,0.004811959564685822,0.020755401253700255,0.026059658229351045,0.4,0.6,-0.09675023970005618
side,2026_08_18_00_48_13_457980_L1_left_C0,80,-0.03963515954092145,-0.010466946847736835,0.029168212693184613,0.03213083660230041,0.7,0.3,0.6647204398468413
side,2026_08_18_00_49_05_482404_L1_left_C1,80,-0.02659865878522396,-0.019976329989731312,0.006622328795492649,0.0183490889146924,0.725,0.275,0.8114460448833863
side,2026_08_18_00_49_36_378126_L1_left_C2,100,-0.018605044931173324,-0.021715852469205855,-0.003110807538032532,0.014679682552814483,0.72,0.28,0.8699127472878044
side,2026_08_18_00_50_22_202653_L1_right_C0,80,-0.015096722915768624,-0.010131220147013665,0.004965502768754959,0.023230136185884476,0.7,0.3,0.17796600645250021
side,2026_08_18_00_50_52_802516_L1_right_C1,80,-0.024217921681702136,0.004607598669826985,0.028825520351529122,0.03059261329472065,0.525,0.475,0.23844990929777854
side,2026_08_18_00_51_25_610649_L1_right_C2,100,-0.03405267596244812,-0.0002198711037635803,0.03383280485868454,0.03704364776611328,0.57,0.43,-0.048712754254329235
side,2026_08_18_00_52_54_907596_L3_right_C0,80,-0.028736972808837892,-0.01547053810209036,0.013266434706747533,0.020927919261157512,0.875,0.125,0.2958159265601653
side,2026_08_18_00_53_23_339528_L3_right_C1,90,-0.016788111295964983,0.0038603319889969298,0.02064844328496191,0.03497487894362873,0.4666666666666667,0.5333333333333333,-0.5523872656981036
side,2026_08_18_00_53_52_283658_L3_right_C2,100,-0.018033481389284133,-0.0013065508753061295,0.016726930513978003,0.029327604845166208,0.41,0.59,-0.13851271072873167
side,2026_08_18_00_54_32_747715_L3_left_C0,80,-0.048044363129884006,-0.02216139305382967,0.025882970076054335,0.027925191540271045,1.0,0.0,0.4678846256317018
side,2026_08_18_00_55_01_843645_L3_left_C1,90,-0.013952686223718855,-0.01603147801425722,-0.002078791790538364,0.017239059342278373,0.6444444444444445,0.35555555555555557,0.6450982640726547
side,2026_08_18_00_55_32_860317_L3_left_C2,110,-0.010844177007675171,-0.010425489869984714,0.00041868713769045745,0.013112185489047657,0.9,0.1,0.7917052568638971
side,2026_08_18_00_56_19_492037_L3_right_C0,80,-0.004832269717007875,-0.0027530547231435776,0.002079214993864298,0.016415304224938154,0.5625,0.4375,0.5990868534107515
side,2026_08_18_00_56_48_148319_L3_right_C1,90,-0.016470157520638573,0.0015244392885102166,0.017994596809148788,0.02867836778362592,0.4666666666666667,0.5333333333333333,-0.5989176578587855
side,2026_08_18_00_57_15_980084_L3_right_C2,100,-0.020666650384664535,0.00319052517414093,0.023857175558805465,0.025114030689001084,0.49,0.51,0.48011548844800667
side,2026_08_18_00_57_54_988496_L3_left_C0,80,-0.053260902781039475,-0.022926845122128725,0.03033405765891075,0.0320425882935524,0.85,0.15,0.7613439504698056
side,2026_08_18_00_58_22_709133_L3_left_C1,90,-0.016447794520192675,-0.012395761907100677,0.004052032613091999,0.012845833516783185,0.7333333333333333,0.26666666666666666,0.8643419105581615
side,2026_08_18_00_59_48_029579_L3_left_C2,100,-0.015017307847738266,-0.014175471216440201,0.0008418366312980651,0.016577300131320954,0.67,0.33,0.7878625074317677
