split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,3,pregrasp,48,64,16,0.4129032258064516,0.36363636363636365,2,8,0.3,0.7,8,0.5808369517326355,0.5933623909950256,0.5933623909950256,0.5808369517326355,-0.012525439262390137,0.4416850507259369,-0.1969980150461197,0.39538323879241943
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,0,8,0.3,0.7,8,0.49315208196640015,0.5117594599723816,0.5117594599723816,0.49315208196640015,-0.018607378005981445,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,1,8,0.3,0.7,8,0.5261465311050415,0.5465829372406006,0.5465829372406006,0.5261465311050415,-0.020436406135559082,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,2,8,0.3,0.7,8,0.46461907029151917,0.47499021887779236,0.47499021887779236,0.46461907029151917,-0.010371148586273193,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,5,pregrasp,80,96,16,0.6193548387096774,0.5454545454545454,0,8,0.3,0.7,8,0.5522282719612122,0.5655931234359741,0.5655931234359741,0.5522282719612122,-0.013364851474761963,0.530965268611908,-0.17903056740760803,0.2995457351207733
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,5,pregrasp,80,96,16,0.6193548387096774,0.5454545454545454,1,8,0.3,0.7,8,0.6396456956863403,0.656448483467102,0.656448483467102,0.6396456956863403,-0.01680278778076172,0.530965268611908,-0.17903056740760803,0.2995457351207733
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,5,pregrasp,80,96,16,0.6193548387096774,0.5454545454545454,2,8,0.3,0.7,8,0.6217220425605774,0.6367746591567993,0.6367746591567993,0.6217220425605774,-0.015052616596221924,0.530965268611908,-0.17903056740760803,0.2995457351207733
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,6,pregrasp,96,112,16,0.7225806451612903,0.6363636363636364,0,8,0.3,0.7,8,0.5589082837104797,0.5645984411239624,0.5645984411239624,0.5589082837104797,-0.005690157413482666,0.5693609714508057,-0.13848422467708588,0.2595095634460449
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,6,pregrasp,96,112,16,0.7225806451612903,0.6363636363636364,1,8,0.3,0.7,8,0.7007175087928772,0.7149720788002014,0.7149720788002014,0.7007175087928772,-0.014254570007324219,0.5693609714508057,-0.13848422467708588,0.2595095634460449
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,6,pregrasp,96,112,16,0.7225806451612903,0.6363636363636364,2,8,0.3,0.7,8,0.5463262796401978,0.5562884211540222,0.5562884211540222,0.5463262796401978,-0.009962141513824463,0.5693609714508057,-0.13848422467708588,0.2595095634460449
