run,temperature,split,condition,episode_id,target_side,final_correct,raw_sign_early_auc,probability_early_auc,final_true_belief,final_cumulative_margin,prefix_nll
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:11:48_2026,right,0,0.046511627906976744,0.18325746616421779,0.2120462454625322,-0.039379050334294625,1.8614441809264328
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:12:15_2026,left,1,0.9375,0.8670222107240197,0.9470953489682529,0.08654725551605225,0.08107710442646707
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:12:36_2026,right,1,0.9600000000000001,0.7519868614771733,0.8969159950201668,0.06490253905455272,0.2373248916617629
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:13:10_2026,right,0,0.04938271604938271,0.3172329768711543,0.17308218262752198,-0.04691816369692485,1.3003424124566247
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:13:30_2026,left,1,0.943661971830986,0.7972317585858966,0.9157796224485995,0.07159016529719035,0.1644788761308958
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:15:02_2026,right,1,0.34177215189873417,0.45864810997962935,0.7510274497942016,0.03312298655509949,0.794642653232681
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:15:26_2026,left,1,0.9500000000000001,0.8182867311418623,0.9801555427264342,0.11699359615643819,0.14965863776749072
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:15:54_2026,right,0,0.05714285714285714,0.1629953175599548,0.00417414804488651,-0.16423986355463663,3.8644663602688154
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:16:22_2026,left,1,0.7101449275362318,0.6578490075094714,0.8647925267984661,0.05567037562529246,0.36114358259630597
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:16:48_2026,right,0,0.06153846153846154,0.14943229213252032,0.021524527228461304,-0.11450407902399698,3.0442766408252666
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:17:13_2026,left,1,0.9215686274509804,0.6637489890726893,0.9415949440329854,0.08340518176555635,0.2819520687693823
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:17:36_2026,right,0,0.0625,0.1998100609160748,0.1399644063418626,-0.05446756879488627,1.924744901942693
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:17:54_2026,left,1,0.9518072289156626,0.680080566262721,0.6668006610490088,0.02081250647703806,0.3760163535865866
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:18:14_2026,left,1,0.9518072289156626,0.675832457339156,0.8610740038158964,0.054727171858151756,0.3297498812651178
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:18:37_2026,right,0,0.25,0.2102944526378848,0.03361845753838988,-0.10075450440247855,2.692069341897296
