condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,21,1,True,80,16,0.856582535584711,10.953332445536155,0.0,0.0,0.0,nan,1e339873f947d4284382d878fb78ef735faa1f80b434ccb3960a2ad3799e2b6a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init21_repeat1_success.json
base,cabinet,22,0,True,76,16,0.7870666322909109,9.696871462159509,0.0,0.0,0.0,nan,d704b948ebd4a1fa7a2bebe64f5203edc302aa66e7069a15b9098b813260b27a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init22_repeat0_success.json
base,cabinet,22,1,True,78,16,0.7871740899226681,9.503758346444489,0.0,0.0,0.0,nan,d704b948ebd4a1fa7a2bebe64f5203edc302aa66e7069a15b9098b813260b27a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init22_repeat1_success.json
base,cabinet,23,0,True,87,18,0.8436121140694082,11.025634361407109,0.0,0.0,0.0,nan,40fef409968f1f9484983ce0b73de4ee38068ac73c75c707e22fb07202d34164,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init23_repeat0_success.json
base,cabinet,23,1,True,87,18,0.833482562556191,14.67467435984245,0.0,0.0,0.0,nan,40fef409968f1f9484983ce0b73de4ee38068ac73c75c707e22fb07202d34164,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init23_repeat1_success.json
base,cabinet,24,0,True,80,16,0.7966567579036812,10.05549893463713,0.0,0.0,0.0,nan,2d2401e65d71bb766f9eb2ccaab4525c0d033512c35b523dc5f3a07be8553de6,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init24_repeat0_success.json
base,cabinet,24,1,True,83,17,0.804002661654307,10.03753201544797,0.0,0.0,0.0,nan,2d2401e65d71bb766f9eb2ccaab4525c0d033512c35b523dc5f3a07be8553de6,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init24_repeat1_success.json
base,cabinet,25,0,True,88,18,0.9402434487196014,11.445050516979009,0.0,0.0,0.0,nan,91ac2ade5367f97e1d7dbcf47d4ee332a2eab34da7223f38600c869921247d34,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init25_repeat0_success.json
base,cabinet,25,1,True,90,18,0.938966979961186,13.859182130377793,0.0,0.0,0.0,nan,91ac2ade5367f97e1d7dbcf47d4ee332a2eab34da7223f38600c869921247d34,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init25_repeat1_success.json
base,cabinet,26,0,True,89,18,0.9013848110227763,10.941818909272524,0.0,0.0,0.0,nan,8fe55c120b6602d2bc32f3135b2761b80e9cb4e2f3136490ab31d5e3dc97c034,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init26_repeat0_success.json
base,cabinet,26,1,True,90,18,0.8964337042271228,10.694350287505223,0.0,0.0,0.0,nan,8fe55c120b6602d2bc32f3135b2761b80e9cb4e2f3136490ab31d5e3dc97c034,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init26_repeat1_success.json
base,cabinet,27,0,True,84,17,0.9114410212213805,11.441842372781487,0.0,0.0,0.0,nan,706f52d01eadaa1eb6520ebdf25328eb92991ce20e14d18831c6ef476610abd7,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init27_repeat0_success.json
base,cabinet,27,1,True,83,17,0.8870770759443188,10.991522196559648,0.0,0.0,0.0,nan,706f52d01eadaa1eb6520ebdf25328eb92991ce20e14d18831c6ef476610abd7,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init27_repeat1_success.json
base,cabinet,28,0,True,90,18,0.9443487192014202,11.131674814197343,0.0,0.0,0.0,nan,5998264c36a9638a4db2c494e6d2c0022f632f81da691017f90cf7c1e202bef0,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init28_repeat0_success.json
base,cabinet,28,1,True,78,16,0.8219617251168184,9.976972187845064,0.0,0.0,0.0,nan,5998264c36a9638a4db2c494e6d2c0022f632f81da691017f90cf7c1e202bef0,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init28_repeat1_success.json
base,cabinet,29,0,True,84,17,0.8641993351961956,10.64444307840896,0.0,0.0,0.0,nan,04690a8a329479d4d8480848345a724aa63fea11d15a80b9c0ba12452ddc8570,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init29_repeat0_success.json
