episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,6,96,112,16,0.717948717948718,10,0.2676044821739197,0.27114931792020797,-0.0035448357462882995,0.0038390456863376552,0.2,0.8,0.8,-0.08225245177745819,-0.011750350253922598,-0.01763003133997625,-0.02453803820480845
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,7,112,128,16,0.8205128205128205,10,0.2769737929105759,0.2885241284966469,-0.011550335586071015,0.001282190339132162,0.0,1.0,1.0,-0.0938027873635292,-0.01172534842044115,-0.01727927966186633,-0.024084702657394652
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,8,128,144,16,0.9230769230769231,10,0.29446538984775544,0.2893668651580811,0.005098524689674378,0.0013957105180261965,1.0,1.0,0.0,-0.08870426267385483,-0.00985602918598387,-0.016450472093290747,-0.023349097004255956
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,9,144,156,12,1.0,10,0.24170995205640794,0.2404684916138649,0.0012414604425430298,0.001655577090314208,0.7,0.7,0.3,-0.0874628022313118,-0.008746280223131179,-0.016128800592639228,-0.022898325137549184
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,0,0,16,16,0.13793103448275862,10,0.20692395269870759,0.22314222306013107,-0.016218270361423492,0.011870780150428906,0.0,1.0,0.0,-0.016218270361423492,-0.016218270361423492,-0.016218270361423492,-0.016218270361423492
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,1,16,32,16,0.27586206896551724,10,0.23313984870910645,0.2928008556365967,-0.05966100692749023,0.014744794259571287,0.0,1.0,0.0,-0.07587927728891372,-0.03793963864445686,-0.036491547425587974,-0.03391394795417911
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,2,32,48,16,0.41379310344827586,10,0.21098400950431823,0.21208545863628386,-0.0011014491319656372,0.002329077867099781,0.3,0.7,0.3,-0.07698072642087936,-0.02566024214029312,-0.026380090770267303,-0.026737097490708392
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,3,48,64,16,0.5517241379310345,10,0.2408812716603279,0.24703543186187743,-0.00615416020154953,0.002101614468193274,0.0,1.0,0.0,-0.08313488662242889,-0.020783721655607223,-0.022490488737821578,-0.024047293902565815
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,4,64,80,16,0.6896551724137931,10,0.24096693843603134,0.22526769787073136,0.015699240565299987,0.0070671164417032365,1.0,1.0,1.0,-0.0674356460571289,-0.01348712921142578,-0.017398524830738706,-0.020771632891120828
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,5,80,96,16,0.8275862068965517,10,0.31691509783267974,0.315496227145195,0.0014188706874847413,0.004792168731661134,0.7,0.7,0.7,-0.06601677536964416,-0.011002795894940694,-0.01568785251090021,-0.019582094384152912
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,6,96,112,16,0.9655172413793104,10,0.20083328038454057,0.20324020832777023,-0.0024069279432296755,0.001261034219193231,0.0,1.0,0.0,-0.06842370331287384,-0.009774814758981978,-0.01492894253560475,-0.018971800503098914
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,7,112,116,4,1.0,10,0.19575623869895936,0.2002987951040268,-0.004542556405067444,0.0014042429135320022,0.0,1.0,0.0,-0.07296625971794128,-0.00912078246474266,-0.01464043180975649,-0.01862781320997443
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,0,0,16,16,0.125,10,0.38152629137039185,0.3849607080221176,-0.003434416651725769,0.020519744867780732,0.2,0.8,0.2,-0.003434416651725769,-0.003434416651725769,-0.003434416651725769,-0.003434416651725769
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,1,16,32,16,0.25,10,0.33415948152542113,0.3029885202646255,0.031170961260795594,0.00789017475346697,1.0,1.0,1.0,0.027736544609069824,0.013868272304534912,0.012714759707450866,0.010661509593255894
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,2,32,48,16,0.375,10,0.25346366614103316,0.2527150273323059,0.0007486388087272644,0.0024211000103663504,0.6,0.6,0.6,0.02848518341779709,0.009495061139265697,0.009295868022101266,0.008493336066767049
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,3,48,64,16,0.5,10,0.24413279742002486,0.22274010628461838,0.021392691135406493,0.005630595575325031,1.0,1.0,1.0,0.04987787455320358,0.012469468638300896,0.01162218015927535,0.01017903966975215
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,4,64,80,16,0.625,10,0.3094396278262138,0.27939173579216003,0.0300478920340538,0.01008721695624936,1.0,1.0,1.0,0.07992576658725739,0.015985153317451477,0.014078941742579143,0.0118165063295063
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,5,80,96,16,0.75,10,0.24614354968070984,0.24593395739793777,0.0002095922827720642,0.003468335812595331,0.7,0.7,0.7,0.08013535887002946,0.01335589314500491,0.01281809179168759,0.011194309038816208
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,6,96,112,16,0.875,10,0.2129352107644081,0.21893523931503295,-0.006000028550624847,0.0013219099985744835,0.0,1.0,0.0,0.07413533031940461,0.010590761474200659,0.011742770629269737,0.010583333939639903
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,7,112,128,16,1.0,10,0.2521502211689949,0.25219774097204206,-4.7519803047180176e-05,0.0008703320773862162,0.5,0.5,0.5,0.07408781051635743,0.009260976314544679,0.011415262561705379,0.010329898723096016
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,0,0,16,16,0.10256410256410256,10,0.39414732754230497,0.39525486826896666,-0.0011075407266616822,0.021562666411266442,0.4,0.6,0.4,-0.0011075407266616822,-0.0011075407266616822,-0.0011075407266616822,-0.0011075407266616822
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,1,16,32,16,0.20512820512820512,10,0.3535712242126465,0.3248741656541824,0.02869705855846405,0.008986207212409836,1.0,1.0,1.0,0.027589517831802367,0.013794758915901184,0.013010427355766296,0.011576029532553454
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,2,32,48,16,0.3076923076923077,10,0.24800149500370025,0.23497671037912368,0.013024784624576569,0.004824335126397153,1.0,1.0,1.0,0.04061430245637894,0.01353810081879298,0.013014681361339708,0.011923288129832758
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,3,48,64,16,0.41025641025641024,10,0.2975136935710907,0.289208722114563,0.00830497145652771,0.005889154157637668,1.0,1.0,1.0,0.04891927391290665,0.012229818478226663,0.01204503520446665,0.011377669094710269
