episode_id,target_side_base,target_side_exterior_camera,chunk_index,progress_pregrasp,seed,visual_condition,energy_left,energy_right,margin_left_minus_right
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,4,both_hflip,0.2478853315114975,0.3924747407436371,-0.1445894092321396
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,5,original,0.254075288772583,0.3629220724105835,-0.10884678363800049
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,5,exterior_hflip,0.2566615045070648,0.3878849744796753,-0.13122346997261047
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,5,wrist_hflip,0.20282547175884247,0.23604024946689606,-0.03321477770805359
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,5,both_hflip,0.21742698550224304,0.3787088692188263,-0.16128188371658325
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,6,original,0.31799980998039246,0.38659268617630005,-0.06859287619590759
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,6,exterior_hflip,0.30374282598495483,0.4290845990180969,-0.1253417730331421
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,6,wrist_hflip,0.23338092863559723,0.2808554172515869,-0.047474488615989685
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,6,both_hflip,0.25234565138816833,0.4418555498123169,-0.18950989842414856
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,7,original,0.23770897090435028,0.35553279519081116,-0.11782382428646088
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,7,exterior_hflip,0.2402818351984024,0.39515388011932373,-0.15487204492092133
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,7,wrist_hflip,0.18207380175590515,0.22110724449157715,-0.039033442735672
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,7,both_hflip,0.20568257570266724,0.3818935751914978,-0.17621099948883057
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,8,original,0.2281516194343567,0.3311086595058441,-0.10295704007148743
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,8,exterior_hflip,0.2396639585494995,0.35463470220565796,-0.11497074365615845
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,8,wrist_hflip,0.17849260568618774,0.21581463515758514,-0.0373220294713974
