decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
100pct,layout_x_side,L1/right,6,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.04716552073756854
100pct,layout_x_side,L3/left,6,0.5,0.43333333333333335,0.0,0.5,0.13297681932648023
100pct,layout_x_side,L3/right,6,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.1257007701943318
100pct,layout_x_blue_side,L1/left,6,0.8333333333333334,0.75,0.3333333333333333,0.6666666666666666,0.06730200697978338
100pct,layout_x_blue_side,L1/right,6,0.6666666666666666,0.65,0.5,0.5,-0.01586651653051376
100pct,layout_x_blue_side,L3/left,6,0.5,0.5,0.0,1.0,0.25087401966253914
100pct,layout_x_blue_side,L3/right,6,0.8333333333333334,0.7666666666666666,0.3333333333333333,0.3333333333333333,0.007803569858272868
100pct,condition_x_side,C0/left,4,0.75,0.625,0.25,0.25,0.13162994142621756
100pct,condition_x_side,C0/right,4,0.5,0.5,0.0,0.5,0.12698838170617818
100pct,condition_x_side,C1/left,4,0.25,0.15,0.25,0.75,0.03136071283370254
100pct,condition_x_side,C1/right,4,1.0,1.0,0.5,1.0,0.09527986980974673
100pct,condition_x_side,C2/left,4,0.75,0.725,0.25,0.25,0.04287952929735184
100pct,condition_x_side,C2/right,4,1.0,1.0,0.5,1.0,0.03703118488192558
100pct,condition_x_target_color,C0/blue,4,0.25,0.125,0.25,0.25,0.09878187719732523
100pct,condition_x_target_color,C0/red,4,1.0,1.0,0.0,0.5,0.15983644593507051
100pct,condition_x_target_color,C1/blue,4,0.5,0.5,0.5,1.0,0.012539707869291289
100pct,condition_x_target_color,C1/red,4,0.75,0.65,0.25,0.75,0.11410087477415798
100pct,condition_x_target_color,C2/blue,4,0.75,0.75,0.75,0.75,-0.049853166565299034
100pct,condition_x_target_color,C2/red,4,1.0,0.975,0.0,0.5,0.12976388074457645
flat,overall,all,24,0.7083333333333334,0.6666666666666666,0.2916666666666667,0.625,0.00909157105188453
flat,target_color,blue,12,0.5,0.4583333333333333,0.5,0.6666666666666666,0.0029026898184653233
flat,target_color,red,12,0.9166666666666666,0.875,0.08333333333333333,0.5833333333333334,0.015280452285303737
flat,target_side,left,12,0.5833333333333334,0.5,0.25,0.4166666666666667,0.007941310622553759
flat,target_side,right,12,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.010241831481215302
flat,layout,L1,12,0.75,0.7000000000000001,0.4166666666666667,0.5833333333333334,0.0034125965554267185
flat,layout,L3,12,0.6666666666666666,0.6333333333333333,0.16666666666666666,0.6666666666666666,0.014770545548342342
flat,blue_side,left,12,0.6666666666666666,0.625,0.16666666666666666,0.8333333333333334,0.018277083783307006
flat,blue_side,right,12,0.75,0.7083333333333334,0.4166666666666667,0.4166666666666667,-9.394167953794814e-05
flat,condition,C0,8,0.625,0.5625,0.125,0.375,0.016163645195774734
flat,condition,C1,8,0.625,0.575,0.375,0.875,0.007184252637024553
flat,condition,C2,8,0.875,0.8625,0.375,0.625,0.003926815322854302
flat,target_color_x_side,blue/left,6,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.010937942120557029
flat,target_color_x_side,blue/right,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.005132562483626383
flat,target_color_x_side,red/left,6,0.8333333333333334,0.75,0.16666666666666666,0.16666666666666666,0.004944679124550487
flat,target_color_x_side,red/right,6,1.0,1.0,0.0,1.0,0.025616225446056986
flat,layout_x_side,L1/left,6,0.6666666666666666,0.5666666666666667,0.5,0.3333333333333333,0.0008243995284040777
flat,layout_x_side,L1/right,6,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.006000793582449357
flat,layout_x_side,L3/left,6,0.5,0.43333333333333335,0.0,0.5,0.015058221716703438
flat,layout_x_side,L3/right,6,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.014482869379981249
flat,layout_x_blue_side,L1/left,6,0.8333333333333334,0.75,0.3333333333333333,0.6666666666666666,0.008354557417333127
flat,layout_x_blue_side,L1/right,6,0.6666666666666666,0.65,0.5,0.5,-0.0015293643064796917
flat,layout_x_blue_side,L3/left,6,0.5,0.5,0.0,1.0,0.02819961014928089
flat,layout_x_blue_side,L3/right,6,0.8333333333333334,0.7666666666666666,0.3333333333333333,0.3333333333333333,0.0013414809474037953
flat,condition_x_side,C0/left,4,0.75,0.625,0.25,0.25,0.016453742678277195
flat,condition_x_side,C0/right,4,0.5,0.5,0.0,0.5,0.015873547713272273
flat,condition_x_side,C1/left,4,0.25,0.15,0.25,0.75,0.003219677031868032
flat,condition_x_side,C1/right,4,1.0,1.0,0.5,1.0,0.011148828242181073
flat,condition_x_side,C2/left,4,0.75,0.725,0.25,0.25,0.004150512157516046
flat,condition_x_side,C2/right,4,1.0,1.0,0.5,1.0,0.0037031184881925585
flat,condition_x_target_color,C0/blue,4,0.25,0.125,0.25,0.25,0.012347734649665654
flat,condition_x_target_color,C0/red,4,1.0,1.0,0.0,0.5,0.019979555741883814
flat,condition_x_target_color,C1/blue,4,0.5,0.5,0.5,1.0,0.0013456514622602182
flat,condition_x_target_color,C1/red,4,0.75,0.65,0.25,0.75,0.013022853811788889
flat,condition_x_target_color,C2/blue,4,0.75,0.75,0.75,0.75,-0.004985316656529904
flat,condition_x_target_color,C2/red,4,1.0,0.975,0.0,0.5,0.012838947302238508
linear,overall,all,24,0.3333333333333333,0.4000000000000001,0.25,0.6666666666666666,0.012644239750232935
linear,target_color,blue,12,0.08333333333333333,0.15833333333333333,0.08333333333333333,0.5833333333333334,0.018042512782708263
linear,target_color,red,12,0.5833333333333334,0.6416666666666667,0.4166666666666667,0.75,0.00724596671775761
linear,target_side,left,12,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.8333333333333334,0.013166213740817325
linear,target_side,right,12,0.5,0.5916666666666667,0.16666666666666666,0.5,0.012122265759648547
linear,layout,L1,12,0.25,0.35833333333333334,0.25,0.5833333333333334,0.00647357625642208
linear,layout,L3,12,0.4166666666666667,0.4416666666666667,0.25,0.75,0.01881490324404379
linear,blue_side,left,12,0.4166666666666667,0.4666666666666666,0.08333333333333333,0.9166666666666666,0.022764828568073586
linear,blue_side,right,12,0.25,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0025236509323922868
linear,condition,C0,8,0.375,0.3875,0.125,0.375,0.019719738893521327
linear,condition,C1,8,0.25,0.375,0.25,0.75,0.00981382152583036
linear,condition,C2,8,0.375,0.4375,0.375,0.875,0.008399158831347118
linear,target_color_x_side,blue/left,6,0.0,0.03333333333333333,0.0,1.0,0.0286850755911333
linear,target_color_x_side,blue/right,6,0.16666666666666666,0.2833333333333334,0.16666666666666666,0.16666666666666666,0.007399949974283224
linear,target_color_x_side,red/left,6,0.3333333333333333,0.3833333333333333,0.6666666666666666,0.6666666666666666,-0.00235264810949865
linear,target_color_x_side,red/right,6,0.8333333333333334,0.9,0.16666666666666666,0.8333333333333334,0.016844581545013868
linear,layout_x_side,L1/left,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.8333333333333334,0.004792708048615793
linear,layout_x_side,L1/right,6,0.3333333333333333,0.49999999999999994,0.16666666666666666,0.3333333333333333,0.00815444446422837
linear,layout_x_side,L3/left,6,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.8333333333333334,0.021539719433018856
linear,layout_x_side,L3/right,6,0.6666666666666666,0.6833333333333332,0.16666666666666666,0.6666666666666666,0.016090087055068727
linear,layout_x_blue_side,L1/left,6,0.3333333333333333,0.43333333333333335,0.16666666666666666,0.8333333333333334,0.010659257543684054
linear,layout_x_blue_side,L1/right,6,0.16666666666666666,0.2833333333333334,0.3333333333333333,0.3333333333333333,0.0022878949691601063
linear,layout_x_blue_side,L3/left,6,0.5,0.5,0.0,1.0,0.03487039959246312
linear,layout_x_blue_side,L3/right,6,0.3333333333333333,0.3833333333333333,0.5,0.5,0.0027594068956244672
linear,condition_x_side,C0/left,4,0.5,0.4,0.0,0.5,0.022336312000536256
linear,condition_x_side,C0/right,4,0.25,0.375,0.25,0.25,0.0171031657865064
linear,condition_x_side,C1/left,4,0.0,0.05,0.5,1.0,0.008542182106110784
linear,condition_x_side,C1/right,4,0.5,0.7,0.0,0.5,0.011085460945549939
linear,condition_x_side,C2/left,4,0.0,0.175,0.5,1.0,0.008620147115804931
linear,condition_x_side,C2/right,4,0.75,0.7,0.25,0.75,0.008178170546889303
