decision,grouping,level,num_trajectories,accuracy,camera_frame_accuracy,seed_pooled_accuracy,predicted_left_rate,mean_score_left_minus_right
20pct,target_side,right,12,0.3333333333333333,0.6666666666666666,0.30833333333333335,0.6666666666666666,-0.01955391422690203
20pct,layout,L1,12,0.6666666666666666,0.3333333333333333,0.625,0.8333333333333334,-0.05960752100373307
20pct,layout,L3,12,0.6666666666666666,0.3333333333333333,0.6583333333333333,0.8333333333333334,-0.07194425649630526
20pct,blue_side,left,12,0.6666666666666666,0.3333333333333333,0.6,0.8333333333333334,-0.0630356621571506
20pct,blue_side,right,12,0.6666666666666666,0.3333333333333333,0.6833333333333332,0.8333333333333334,-0.06851611534288775
20pct,condition,C0,8,0.625,0.375,0.5625,0.875,-0.06903003417188303
20pct,condition,C1,8,0.75,0.25,0.7250000000000001,0.75,-0.052631183322519065
20pct,condition,C2,8,0.625,0.375,0.6375,0.875,-0.07566644875565545
20pct,target_color_x_side,blue/left,6,1.0,0.0,0.9500000000000001,1.0,-0.10352595613338052
20pct,target_color_x_side,blue/right,6,0.3333333333333333,0.6666666666666666,0.3666666666666667,0.6666666666666666,-0.01656246027288338
20pct,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.12046977041289209
20pct,target_color_x_side,red/right,6,0.3333333333333333,0.6666666666666666,0.25,0.6666666666666666,-0.022545368180920688
20pct,layout_x_side,L1/left,6,1.0,0.0,0.9500000000000001,1.0,-0.09956185612827541
20pct,layout_x_side,L1/right,6,0.3333333333333333,0.6666666666666666,0.3,0.6666666666666666,-0.01965318587919077
20pct,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.12443387041799721
20pct,layout_x_side,L3/right,6,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6666666666666666,-0.019454642574613292
20pct,condition_x_side,C0/left,4,1.0,0.0,0.925,1.0,-0.1133000135794282
20pct,condition_x_side,C0/right,4,0.25,0.75,0.19999999999999998,0.75,-0.02476005476433784
20pct,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.10353062877431513
20pct,condition_x_side,C1/right,4,0.5,0.5,0.44999999999999996,0.5,-0.0017317378707230103
20pct,condition_x_side,C2/left,4,1.0,0.0,1.0,1.0,-0.11916294746566565
20pct,condition_x_side,C2/right,4,0.25,0.75,0.275,0.75,-0.03216995004564524
20pct,condition_x_target_color,C0/blue,4,0.75,0.25,0.6,0.75,-0.059405432404018944
20pct,condition_x_target_color,C0/red,4,0.5,0.5,0.525,1.0,-0.0786546359397471
20pct,condition_x_target_color,C1/blue,4,0.75,0.25,0.725,0.75,-0.0498381687141955
20pct,condition_x_target_color,C1/red,4,0.75,0.25,0.725,0.75,-0.05542419793084264
20pct,condition_x_target_color,C2/blue,4,0.5,0.5,0.65,1.0,-0.07088902349118144
20pct,condition_x_target_color,C2/red,4,0.75,0.25,0.625,0.75,-0.08044387402012945
30pct,overall,all,24,0.5,0.5,0.5750000000000001,1.0,-0.10892549876589326
30pct,target_color,blue,12,0.5,0.5,0.5833333333333334,1.0,-0.10532998431862022
30pct,target_color,red,12,0.5,0.5,0.5666666666666667,1.0,-0.11252101321316633
30pct,target_side,left,12,1.0,0.0,1.0,1.0,-0.16401519826070093
30pct,target_side,right,12,0.0,1.0,0.15000000000000002,1.0,-0.05383579927108561
30pct,layout,L1,12,0.5,0.5,0.5666666666666667,1.0,-0.10498296439802894
30pct,layout,L3,12,0.5,0.5,0.5833333333333334,1.0,-0.1128680331337576
30pct,blue_side,left,12,0.5,0.5,0.5666666666666667,1.0,-0.10244984705001114
30pct,blue_side,right,12,0.5,0.5,0.5833333333333334,1.0,-0.11540115048177539
30pct,condition,C0,8,0.5,0.5,0.575,1.0,-0.11543835184769705
30pct,condition,C1,8,0.5,0.5,0.6125,1.0,-0.08981209196150303
30pct,condition,C2,8,0.5,0.5,0.5375000000000001,1.0,-0.12152605248847975
30pct,target_color_x_side,blue/left,6,1.0,0.0,1.0,1.0,-0.15394403209754573
30pct,target_color_x_side,blue/right,6,0.0,1.0,0.16666666666666666,1.0,-0.05671593653969465
30pct,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.17408636442385614
30pct,target_color_x_side,red/right,6,0.0,1.0,0.13333333333333333,1.0,-0.05095566200247655
30pct,layout_x_side,L1/left,6,1.0,0.0,1.0,1.0,-0.14877983903512357
30pct,layout_x_side,L1/right,6,0.0,1.0,0.13333333333333333,1.0,-0.061186089760934294
30pct,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.1792505574862783
30pct,layout_x_side,L3/right,6,0.0,1.0,0.16666666666666666,1.0,-0.04648550878123691
30pct,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.1718030528817326
