decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
20pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.052684404700994496,0.04643656127154827,0,1,0.0062478434294462246
20pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.01874994494020939,0.00874323472380638,1,1,-0.01000671021640301
20pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.012081981301307679,0.03487093448638916,0,0,0.046952915787696836
20pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.022079293504357344,0.045795835852622986,0,0,0.06787512935698033
20pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.18159792870283128,0.06543015046045184,0,1,0.11616777824237945
20pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,red,0.11424310900270938,0.05386888906359673,0,1,0.060374219939112655
20pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.11960461955517532,0.05856288831681013,0,1,0.06104173123836519
20pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,blue,red,-0.01789424642920494,0.013597232848405843,0,0,0.031491479277610784
20pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.01916900135576725,0.009344962984323501,1,1,-0.00982403837144375
20pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,blue,red,-0.02774739423766732,0.026792921293526888,0,0,0.054540315531194206
30pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,red,0.03965898975729942,0.04561840273439884,0,0,0.0059594129770994195
30pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.0970289060473442,-0.03736474990844726,0,1,-0.13439365595579145
30pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,blue,0.08211866229772567,-0.05002286504954099,0,1,-0.13214152734726667
30pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.004044029191136353,0.004934980422258378,0,0,0.0008909512311220252
30pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,red,0.04406115382909775,0.039887041449546815,0,0,-0.004174112379550933
30pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,red,0.06538650993257761,0.034997297637164596,0,0,-0.030389212295413012
30pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,blue,0.2384489022195339,-0.03240941949188709,0,1,-0.270858321711421
30pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,blue,0.17125434815883633,-0.004973468631505957,0,1,-0.1762278167903423
30pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,blue,0.17329385339282455,-0.0008486277889460415,0,1,-0.1741424811817706
30pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.07956356758251786,0.04741068370640278,0,0,-0.032152883876115076
30pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.07023256542161108,0.007043352611362934,0,0,-0.06318921281024814
30pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.06981399775482713,0.03971972550265491,0,0,-0.030094272252172226
30pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.03965898975729942,0.004044029191136353,0,1,0.03561496056616307
30pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,red,0.0970289060473442,0.04406115382909775,0,1,0.05296775221824645
30pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.08211866229772567,0.06538650993257761,0,1,0.016732152365148065
30pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.04561840273439884,0.004934980422258378,1,1,-0.04068342231214046
30pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.03736474990844726,0.039887041449546815,0,0,0.07725179135799407
30pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.05002286504954099,0.034997297637164596,0,0,0.08502016268670559
30pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.2384489022195339,0.07956356758251786,0,1,0.15888533463701604
30pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,red,0.17125434815883633,0.07023256542161108,0,1,0.10102178273722526
30pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.17329385339282455,0.06981399775482713,0,1,0.10347985563799741
30pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,blue,red,-0.03240941949188709,0.04741068370640278,0,0,0.07982010319828986
30pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,blue,red,-0.004973468631505957,0.007043352611362934,0,0,0.012016821242868892
30pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,blue,red,-0.0008486277889460415,0.03971972550265491,0,0,0.04056835329160095
40pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,red,0.05323302149772645,0.04492446303367615,0,0,-0.008308558464050299
40pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.12662476181983948,-0.08858670890331269,0,1,-0.21521147072315217
40pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,blue,0.09981893241405489,-0.03819287925958633,0,1,-0.1380118116736412
40pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,blue,0.05932806342840196,-0.011275351941585547,0,1,-0.0706034153699875
40pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,red,0.06705686300992966,0.032308453023433686,0,0,-0.034748409986495976
40pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,red,0.07614466086030007,0.025252576470375057,0,0,-0.05089208438992501
40pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,blue,0.2736810341477394,-0.052010190486907956,0,1,-0.3256912246346474
40pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,blue,0.2304768396914005,-0.037582174390554425,0,1,-0.2680590140819549
40pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.18315863735973836,0.00459367111325262,0,0,-0.17856496624648574
40pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.09332526154816151,0.09521998316049576,0,0,0.0018947216123342547
40pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.07094319015741349,0.015109817832708362,0,0,-0.05583337232470513
40pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.058504600599408145,0.07498218592256307,0,0,0.01647758532315493
40pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.05323302149772645,0.05932806342840196,0,1,-0.006095041930675511
40pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,red,0.12662476181983948,0.06705686300992966,0,1,0.059567898809909814
40pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.09981893241405489,0.07614466086030007,0,1,0.023674271553754817
40pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,blue,0.04492446303367615,-0.011275351941585547,0,0,-0.0561998149752617
40pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.08858670890331269,0.032308453023433686,0,0,0.12089516192674638
40pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.03819287925958633,0.025252576470375057,0,0,0.06344545572996138
40pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.2736810341477394,0.09332526154816151,0,1,0.1803557725995779
40pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,red,0.2304768396914005,0.07094319015741349,0,1,0.15953364953398702
40pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.18315863735973836,0.058504600599408145,0,1,0.12465403676033021
40pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,blue,red,-0.052010190486907956,0.09521998316049576,0,0,0.1472301736474037
40pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,blue,red,-0.037582174390554425,0.015109817832708362,0,0,0.05269199222326279
40pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.00459367111325262,0.07498218592256307,1,1,0.07038851480931045
100pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,blue,red,-0.004669418931007384,0.17632185816764834,1,1,0.18099127709865573
100pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.07086809575557709,-0.14714392125606537,0,1,-0.21801201701164247
100pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,blue,red,-0.10901921242475508,0.039262416958808895,1,1,0.14828162938356398
100pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.06916215270757675,0.07714910954236984,0,0,0.007986956834793085
100pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.08459112644195556,0.24649782627820968,1,1,0.33108895272016525
100pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.1482104793190956,0.12298564165830612,1,1,0.2711961209774017
