decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
10pct,layout_x_side,L3/right,6,0.0,0.0,0.5,0.0,0.0186556471278891
10pct,layout_x_blue_side,L1/left,6,0.5,0.46666666666666673,0.6666666666666666,0.3333333333333333,-0.0036964070176084833
10pct,layout_x_blue_side,L1/right,6,0.5,0.48333333333333334,0.0,0.0,0.047958530976126595
10pct,layout_x_blue_side,L3/left,6,0.3333333333333333,0.2333333333333333,0.8333333333333334,0.16666666666666666,-0.01376882335636765
10pct,layout_x_blue_side,L3/right,6,0.5,0.5,0.0,0.0,0.06597094179907192
10pct,condition_x_side,C0/left,4,0.75,0.6,0.25,0.25,0.029582050302997234
10pct,condition_x_side,C0/right,4,0.25,0.25,0.25,0.25,0.02271799555281177
10pct,condition_x_side,C1/left,4,1.0,0.9249999999999999,0.5,0.0,0.011028201654553413
10pct,condition_x_side,C1/right,4,0.0,0.0,0.5,0.0,0.01033722133375704
10pct,condition_x_side,C2/left,4,0.75,0.7,0.25,0.25,0.04648565140319988
10pct,condition_x_side,C2/right,4,0.0,0.05,0.5,0.0,0.024545243354514246
10pct,condition_x_target_color,C0/blue,4,0.25,0.125,0.25,0.25,0.030499299664516
10pct,condition_x_target_color,C0/red,4,0.75,0.725,0.25,0.25,0.021800746191293
10pct,condition_x_target_color,C1/blue,4,0.5,0.42500000000000004,0.5,0.0,0.020681815380230544
10pct,condition_x_target_color,C1/red,4,0.5,0.5,0.5,0.0,0.0006836076080799086
10pct,condition_x_target_color,C2/blue,4,0.25,0.2,0.25,0.25,0.04815216343151406
10pct,condition_x_target_color,C2/red,4,0.5,0.55,0.5,0.0,0.022878731326200066
20pct,overall,all,24,0.3333333333333333,0.37083333333333335,0.16666666666666666,0.3333333333333333,0.04207256272279968
20pct,target_color,blue,12,0.0,0.05833333333333333,0.0,0.5,0.062372476140347625
20pct,target_color,red,12,0.6666666666666666,0.6833333333333332,0.3333333333333333,0.16666666666666666,0.021772649305251735
20pct,target_side,left,12,0.5,0.5,0.0,0.5,0.04810780743602663
20pct,target_side,right,12,0.16666666666666666,0.2416666666666666,0.3333333333333333,0.16666666666666666,0.03603731800957273
20pct,layout,L1,12,0.3333333333333333,0.3416666666666666,0.16666666666666666,0.3333333333333333,0.030619103324910007
20pct,layout,L3,12,0.3333333333333333,0.39999999999999997,0.16666666666666666,0.3333333333333333,0.053526022120689354
20pct,blue_side,left,12,0.16666666666666666,0.3,0.3333333333333333,0.6666666666666666,0.028519873153418307
20pct,blue_side,right,12,0.5,0.44166666666666665,0.0,0.0,0.05562525229218104
20pct,condition,C0,8,0.5,0.4375,0.0,0.5,0.050777497822418804
20pct,condition,C1,8,0.25,0.2875,0.25,0.25,0.02084499300457537
20pct,condition,C2,8,0.25,0.3875,0.25,0.25,0.05459519734140486
20pct,target_color_x_side,blue/left,6,0.0,0.11666666666666665,0.0,1.0,0.0548550312841932
20pct,target_color_x_side,blue/right,6,0.0,0.0,0.0,0.0,0.06988992099650204
20pct,target_color_x_side,red/left,6,1.0,0.8833333333333333,0.0,0.0,0.041360583587860066
20pct,target_color_x_side,red/right,6,0.3333333333333333,0.4833333333333332,0.6666666666666666,0.3333333333333333,0.0021847150226434104
20pct,layout_x_side,L1/left,6,0.5,0.45,0.0,0.5,0.0288916993762056
20pct,layout_x_side,L1/right,6,0.16666666666666666,0.2333333333333333,0.3333333333333333,0.16666666666666666,0.032346507273614405
20pct,layout_x_side,L3/left,6,0.5,0.5499999999999999,0.0,0.5,0.06732391549584767
20pct,layout_x_side,L3/right,6,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.03972812874553105
20pct,layout_x_blue_side,L1/left,6,0.16666666666666666,0.3,0.3333333333333333,0.6666666666666666,0.017742371472219628
20pct,layout_x_blue_side,L1/right,6,0.5,0.3833333333333333,0.0,0.0,0.04349583517760038
20pct,layout_x_blue_side,L3/left,6,0.16666666666666666,0.3,0.3333333333333333,0.6666666666666666,0.03929737483461698
20pct,layout_x_blue_side,L3/right,6,0.5,0.5,0.0,0.0,0.06775466940676173
20pct,condition_x_side,C0/left,4,0.5,0.45,0.0,0.5,0.0539219181984663
20pct,condition_x_side,C0/right,4,0.5,0.425,0.0,0.5,0.04763307744637132
20pct,condition_x_side,C1/left,4,0.5,0.5,0.0,0.5,0.021951671354472638
20pct,condition_x_side,C1/right,4,0.0,0.075,0.5,0.0,0.019738314654678103
