decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
20pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.0093422643840313,0.05531043827533723,0,1,-0.04596817389130593
20pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.030263018161058423,0.06415133848786354,1,1,0.033888320326805124
20pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.004318290948867785,-0.04070768982172012,0,0,-0.045025980770587906
20pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.05101149171590805,-0.0047468152642250044,0,0,-0.05575830698013305
20pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.057235721871256834,0.04519930750131607,0,1,0.01203641436994076
20pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,red,0.025041991099715243,0.07801376923918724,0,1,-0.052971778139471994
20pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.15909507930278777,0.12074423899874091,0,1,0.038350840304046854
20pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.07000641897320746,0.01647957861423493,1,1,-0.05352684035897253
20pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,blue,0.038213786110281936,-0.013722507581114762,0,0,-0.0519362936913967
20pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,blue,0.05435049561783672,-0.008345614299178121,0,0,-0.06269610991701484
30pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,blue,0.08342224527150392,-0.00048484265804290584,0,1,-0.08390708792954683
30pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.06400245308876037,-0.032856470346450804,0,1,-0.09685892343521119
30pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,red,0.06951678443700074,0.026041817180812363,0,0,-0.04347496725618838
30pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.03916433624923229,0.10793445251882075,0,0,0.06877011626958845
30pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.05715994924306869,-0.042908684313297266,0,1,-0.10006863355636596
30pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.03979221004992724,-0.023758106566965573,0,1,-0.06355031661689281
30pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,red,0.14700758717954157,0.0538819570094347,0,0,-0.09312563017010687
30pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.11257392782717941,0.04655056655406951,0,0,-0.0660233612731099
30pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.28952747433446346,0.09998054038733244,0,0,-0.189546933947131
30pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.028643484599888334,0.11115042306482789,0,0,0.08250693846493956
30pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.03975347973406316,0.03640722017735243,0,0,-0.0033462595567107303
30pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.08620635776780547,0.007292642090469604,0,0,-0.07891371567733586
30pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.08342224527150392,0.03916433624923229,0,1,0.044257909022271634
30pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,red,0.06400245308876037,0.05715994924306869,0,1,0.006842503845691683
30pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.06951678443700074,0.03979221004992724,0,1,0.029724574387073502
30pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,blue,red,-0.00048484265804290584,0.10793445251882075,0,0,0.10841929517686366
30pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,blue,-0.032856470346450804,-0.042908684313297266,0,1,-0.010052213966846461
30pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.026041817180812363,-0.023758106566965573,0,0,-0.04979992374777793
30pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.14700758717954157,0.028643484599888334,0,1,0.11836410257965324
30pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,red,0.11257392782717941,0.03975347973406316,0,1,0.07282044809311625
30pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.28952747433446346,0.08620635776780547,0,1,0.203321116566658
30pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.0538819570094347,0.11115042306482789,1,1,0.057268466055393194
30pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.04655056655406951,0.03640722017735243,1,1,-0.010143346376717079
30pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.09998054038733244,0.007292642090469604,1,1,-0.09268789829686283
40pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,blue,0.09903030321002007,-0.027240537405014045,0,1,-0.12627084061503413
40pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.09923820734024048,-0.042245931327342987,0,1,-0.14148413866758347
40pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,red,0.10782392427325249,0.013310454487800593,0,0,-0.0945134697854519
40pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.03413220226764678,0.12448836356401444,0,0,0.09035616129636766
40pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.0626374927163124,-0.04864877223968505,0,1,-0.11128626495599744
40pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.018609646856784814,-0.032412376999855046,0,1,-0.051022023856639856
40pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,red,0.23492308631539344,0.015318274497985833,0,0,-0.2196048118174076
40pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.18225070729851722,0.084411338865757,0,0,-0.09783936843276023
40pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.3430136513710022,0.12914073914289476,0,0,-0.21387291222810745
40pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,blue,red,-0.019956126511096958,0.23767750561237333,1,1,0.2576336321234703
40pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,blue,red,-0.005070530921220779,0.0951122120022774,1,1,0.10018274292349819
40pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.04044832512736322,0.012097551152110104,0,0,-0.028350773975253114
40pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.09903030321002007,0.03413220226764678,0,1,0.06489810094237329
40pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,red,0.09923820734024048,0.0626374927163124,0,1,0.03660071462392808
40pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,red,0.10782392427325249,0.018609646856784814,0,1,0.08921427741646767
40pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,blue,red,-0.027240537405014045,0.12448836356401444,0,0,0.15172890096902847
40pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,blue,-0.042245931327342987,-0.04864877223968505,0,1,-0.006402840912342063
