episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_blue_mean,energy_red_mean,local_margin_blue_minus_red_mean,local_margin_seed_sd,red_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,cartesian_x,cartesian_y,cartesian_z,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,2,32,48,16,0.39669421487603307,10,0.21847981959581375,0.282628633081913,-0.06414881348609924,0.010115030758762116,0.0,1.0,1.0,0.47765353322029114,-0.015066616237163544,0.367693156003952,-0.018265335261821745,-0.006088445087273915,-0.0009156420117332806,0.007011699459799099
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,3,48,64,16,0.5289256198347108,10,0.22957022190093995,0.29720187187194824,-0.0676316499710083,0.03767355501428776,0.0,1.0,1.0,0.5282787680625916,-0.02036115899682045,0.32054778933525085,-0.08589698523283004,-0.02147424630820751,-0.013745643542363092,-0.00274278535008834
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,4,64,80,16,0.6611570247933884,10,0.245027494430542,0.2315947324037552,0.013432762026786805,0.013283400711510749,0.8,0.8,0.2,0.5789158940315247,-0.026969198137521744,0.2729451656341553,-0.07246422320604323,-0.014492844641208646,-0.010121856133143104,-0.001409697809486559
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,5,80,96,16,0.7933884297520661,10,0.25098306238651275,0.26557360887527465,-0.014590546488761902,0.006727243272285326,0.1,0.9,0.9,0.6296064257621765,-0.03465106710791588,0.2246462106704712,-0.08705476969480513,-0.014509128282467523,-0.010528100710926632,-0.0021162670409136403
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,6,96,112,16,0.9256198347107438,10,0.1638960748910904,0.18851780146360397,-0.02462172657251358,0.009256673707003405,0.0,1.0,1.0,0.6667183637619019,-0.039860013872385025,0.18885362148284912,-0.11167649626731871,-0.01595378518104553,-0.011333450760160171,-0.0029159649238824823
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,0.0,0.0,blue,right,right,left,pick up the blue block,7,112,121,9,1.0,10,0.2031353384256363,0.22424186766147614,-0.021106529235839843,0.004954069286753168,0.0,1.0,1.0,0.6672957539558411,-0.03988920524716377,0.1888081133365631,-0.13278302550315854,-0.016597878187894818,-0.011604925162262384,-0.003349620556538296
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,0,0,16,16,0.12121212121212122,10,0.4151945859193802,0.3231907919049263,0.09200379401445388,0.01526592193411925,1.0,1.0,0.0,0.3730132579803467,-0.02570302225649357,0.47828108072280884,0.09200379401445388,0.09200379401445388,0.09200379401445388,0.09200379401445388
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,1,16,32,16,0.24242424242424243,10,0.2652089074254036,0.28673202246427537,-0.021523115038871766,0.01075607053383935,0.0,1.0,1.0,0.4035748541355133,-0.07267157733440399,0.4392050802707672,0.07048067897558212,0.03524033948779106,0.038579366224653584,0.04461427980735257
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,2,32,48,16,0.36363636363636365,10,0.18892508298158645,0.25361392349004747,-0.06468884050846099,0.009895449525602198,0.0,1.0,1.0,0.4488801956176758,-0.10245123505592346,0.3962406516075134,0.005791838467121127,0.001930612822373709,0.00845947259416183,0.019448633647668315
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,3,48,64,16,0.48484848484848486,10,0.2687209531664848,0.3049288511276245,-0.03620789796113968,0.012366264871224728,0.0,1.0,1.0,0.49823880195617676,-0.11249492317438126,0.3488485515117645,-0.03041605949401855,-0.007604014873504638,-0.00047400151689847193,0.011567090002646694
