split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,2,pregrasp,32,48,16,0.3096774193548387,0.2727272727272727,0,8,0.3,0.7,8,0.23774069547653198,0.2685471177101135,0.2685471177101135,0.23774069547653198,-0.030806422233581543,0.40499311685562134,-0.15259136259555817,0.434199720621109
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,2,pregrasp,32,48,16,0.3096774193548387,0.2727272727272727,1,8,0.3,0.7,8,0.2277393341064453,0.26714375615119934,0.26714375615119934,0.2277393341064453,-0.03940442204475403,0.40499311685562134,-0.15259136259555817,0.434199720621109
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,2,pregrasp,32,48,16,0.3096774193548387,0.2727272727272727,2,8,0.3,0.7,8,0.22740042209625244,0.27334412932395935,0.27334412932395935,0.22740042209625244,-0.04594370722770691,0.40499311685562134,-0.15259136259555817,0.434199720621109
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,3,pregrasp,48,64,16,0.4129032258064516,0.36363636363636365,0,8,0.3,0.7,8,0.17782902717590332,0.23603472113609314,0.23603472113609314,0.17782902717590332,-0.05820569396018982,0.4416850507259369,-0.1969980150461197,0.39538323879241943
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,3,pregrasp,48,64,16,0.4129032258064516,0.36363636363636365,1,8,0.3,0.7,8,0.2220958024263382,0.27481693029403687,0.27481693029403687,0.2220958024263382,-0.05272112786769867,0.4416850507259369,-0.1969980150461197,0.39538323879241943
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,3,pregrasp,48,64,16,0.4129032258064516,0.36363636363636365,2,8,0.3,0.7,8,0.2852954566478729,0.3628813922405243,0.3628813922405243,0.2852954566478729,-0.07758593559265137,0.4416850507259369,-0.1969980150461197,0.39538323879241943
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,0,8,0.3,0.7,8,0.2477254569530487,0.2671657204627991,0.2671657204627991,0.2477254569530487,-0.019440263509750366,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,1,8,0.3,0.7,8,0.2301832139492035,0.2675454318523407,0.2675454318523407,0.2301832139492035,-0.03736221790313721,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,4,pregrasp,64,80,16,0.5161290322580645,0.45454545454545453,2,8,0.3,0.7,8,0.32250553369522095,0.3492451608181,0.3492451608181,0.32250553369522095,-0.02673962712287903,0.487356036901474,-0.20636099576950073,0.34574398398399353
test,C1_mild_exaggeration,1,03_L0_C2_right,right,pick up the right block,5,pregrasp,80,96,16,0.6193548387096774,0.5454545454545454,0,8,0.3,0.7,8,0.3287384808063507,0.3600150942802429,0.3600150942802429,0.3287384808063507,-0.03127661347389221,0.530965268611908,-0.17903056740760803,0.2995457351207733
