condition,target,init_state_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,evidence_auc_first_10,evidence_auc_first_20,evidence_at_step_10,evidence_at_step_20,evidence_at_step_50,evidence_at_step_100,max_target_lift_m,max_alternate_lift_m,wrong_object_lifted,target_lift_step_3cm,w_query_1,w_query_2,w_query_5,w_mean_first_10_queries,w_mean_all_queries,belief_positive_query_2,belief_negative_query_2,belief_positive_mean_first_10,belief_negative_mean_first_10,belief_positive_final,belief_negative_final,w_at_target_lift_3cm,belief_positive_at_target_lift_3cm,energy_margin_pos_minus_neg_mean,initial_observation_sha256,metadata
belief,cream_cheese,2,False,220,44,0.5039230567645314,9.27646825720375,-0.0004832189072494442,4.664831337366781e-05,-0.0002387062130095874,0.0010288452665424552,0.04925179121090495,0.06925833566512896,6.623427961649497e-08,6.733817525805819e-08,False,,0.0,0.9998961501118269,0.9985358727847704,0.8936872860324657,0.8710097220711369,0.5000519249440865,0.49994807505591343,0.5031563569837674,0.49684364301623274,0.6136760436094572,0.38632395639054284,nan,nan,-0.010762578834844537,365159cef76e99205cd76f9d6c9c67fe9dc691b7852634bdddc2e2bc2ff8817e,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init2_repeat0_failure.json
belief,cream_cheese,3,True,178,36,0.4763184518906797,6.056455062985808,0.0010549874471077413,0.0013886182976089456,0.0020978154861781007,0.0018063541340345157,0.0511592719732783,0.13350410848959138,0.09134236792906347,6.733817525805819e-08,False,160,0.0,0.9999460334366245,0.9991550460082129,0.8962116998128483,0.8710354031735266,0.5000269832816877,0.49997301671831224,0.5018941500935757,0.49810584990642415,0.5965643467634689,0.403435653236531,0.8123246765695636,0.5938376617152182,-0.011176288746563451,57703ddd28329a0235bfb328fa06c98d2cdc1aff1ea610bd10cc248069ac7771,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init3_repeat0_success.json
belief,cream_cheese,4,True,186,38,0.518196383926263,6.587256420431749,-0.0005380904334554238,-0.00028410252493925314,-0.00017826036905926879,0.0009231903240333184,0.027078068098970343,-0.04567772478219201,0.09336772238813817,6.733817525805819e-08,False,164,0.0,0.999980206834155,0.9984209167624548,0.893748174880024,0.881869164625587,0.5000098965829226,0.4999901034170775,0.5031259125599881,0.496874087440012,0.5920503768225599,0.40794962317744005,0.8245705923421575,0.5877147038289212,-0.0100661630559763,0cb085e959a7b473fad015daa1dfb4d87bc17b5ebaf80d5005929b48f1f2de5a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init4_repeat0_success.json
belief,cream_cheese,5,True,162,33,0.44720398641708586,9.613863410840528,0.0002839085818886755,0.001255782510041195,0.0004711522857936967,0.0043126089288155756,0.0820972818817634,0.480091519579749,0.0942338773194702,6.733817525805819e-08,False,144,0.0,1.000023385073287,0.9989230074077964,0.8910377246652057,0.8458078930438969,0.4999883074633566,0.5000116925366435,0.5044811376673972,0.4955188623326028,0.6162164057837664,0.38378359421623365,0.7728125332761712,0.6135937333619144,-0.014797480404013186,cdadbcb43da33c4bb62f2856f07b8984a70ae5d8806f094f32926f560e32205a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init5_repeat0_success.json
belief,cream_cheese,6,True,152,31,0.44489657591577014,5.89897182215582,-0.001416007504439648,-0.00202654430570596,-0.0030314085182472916,-0.002106892980694608,0.06093117515424312,0.4938004863094518,0.09278557018445754,6.733817525805819e-08,False,134,0.0,0.9999523447186581,0.9990378853166539,0.8914077258701008,0.8620677793428265,0.500023827640671,0.49997617235932906,0.5042961370649496,0.4957038629350504,0.5997983089276083,0.4002016910723917,0.8051185729575311,0.5974407135212345,-0.013487493306941663,34b9d42fafae74f3a7b3ed7cc5968102807d45994807498f72bb3ca5a0320144,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init6_repeat0_success.json
belief,cream_cheese,7,True,220,44,0.5293036674253633,7.357545374012699,-0.0009227572417424224,-0.0008260716661479706,-0.0009580880062944885,-0.0009511179402619252,0.023062362334463404,0.008177690283774242,0.09241798795348388,6.733817525805819e-08,False,199,0.0,0.9998907095291347,0.9986144441489887,0.8949709178469629,0.881472299903833,0.5000546452354327,0.49994535476456736,0.5025145410765185,0.49748545892348145,0.6013294600655653,0.39867053993443463,0.8150376097952486,0.5924811951023757,-0.009558316498864875,c0ea06d39715170bfb60db0aaa48d147cbce93489004fe8d992e9c8870c58d97,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init7_repeat0_success.json
belief,cream_cheese,8,False,220,44,0.5459141120554798,6.861946497286297,-0.0007029465539813429,0.0006019445301053639,1.980141659629897e-05,0.0030149271196291405,0.048223218802820766,-0.00011473446967530387,0.07944951410646772,6.733817525805819e-08,False,205,0.0,0.9999249214598923,0.9981499923020227,0.8938220404374873,0.8588493192340803,0.5000375392700539,0.49996246072994616,0.5030889797812563,0.4969110202187436,0.6218323705962516,0.3781676294037485,0.7610553388685969,0.6194723305657016,-0.011565883591132196,5465843d03d056554d4de977d22e4ed0b43382660018b444e3143383238ec763,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init8_repeat0_failure.json
belief,cream_cheese,9,True,165,33,0.4529684486607528,6.021619192885625,-0.0006615733343744822,-0.0006527372506753892,-0.001511402056142308,-0.00013591724013001238,0.03585250735315326,0.28241385364517135,0.09162798923175042,6.733817525805819e-08,False,146,0.0,0.9998565159340458,0.9983748975837204,0.8944332231722634,0.871630754696807,0.5000717420329772,0.4999282579670229,0.5027833884138684,0.4972166115861317,0.5987043475820653,0.40129565241793486,0.8063745212403796,0.5968127393798103,-0.012502170504376409,150f223193d1e1e8434f7550dbca2eb2fd2f2dd2292f61858ed5090add18bdab,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_cream_cheese_init9_repeat0_success.json
belief,tomato_sauce,0,False,220,44,0.4310978961735695,10.137233713034965,0.0011385642053790223,0.005810886673105559,0.0037495896069110746,0.015188791432463489,0.1591228421141298,0.6016718984162146,0.0032112886505941685,6.623427961649497e-08,False,,0.0,1.000147975689117,0.9987101284955638,0.8898994186987155,0.8483777107178164,0.4999260121554414,0.5000739878445585,0.5050502906506422,0.49494970934935784,0.6288167260106095,0.37118327398939044,nan,nan,-0.01225916046627559,6ff3567296ad470a904d94a1f7f099946dd5d4fdf12be2ef180e7258ea8238c3,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_tomato_sauce_init0_repeat0_failure.json
belief,tomato_sauce,1,False,220,44,0.44956514815732285,4.0884451496476695,0.002769132864334106,0.007440187882412544,0.0053821827870558225,0.022018937328891652,0.19612217550181515,0.6824635013067597,6.733817525805819e-08,6.623427961649497e-08,False,,0.0,0.9998521167446465,0.9968681746343682,0.8870501552042537,0.8259230961280017,0.5000739416276768,0.49992605837232323,0.5064749223978732,0.49352507760212677,0.6397474886188493,0.3602525113811507,nan,nan,-0.01335507775331999,a9cd28badf0f9e557bf969510126d1ee7212c78590a9aa73016f8f3edda73d17,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_belief_tomato_sauce_init1_repeat0_failure.json
