episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,8,128,144,16,0.9230769230769231,10,0.3077310353517532,0.3054766893386841,0.002254346013069153,0.0035640988365858994,0.8,0.8,0.2,-0.011587189137935636,-0.0012874654597706263,-0.009225646765143786,-0.01842978837210323
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,9,144,156,12,1.0,10,0.234977126121521,0.23441966772079467,0.0005574584007263184,0.0018100393786939543,0.6,0.6,0.4,-0.011029730737209318,-0.0011029730737209319,-0.009047772125764329,-0.018081731330699128
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,0,0,16,16,0.13793103448275862,10,0.2062704935669899,0.2293726846575737,-0.023102191090583802,0.015104098979191006,0.0,1.0,0.0,-0.023102191090583802,-0.023102191090583802,-0.023102191090583802,-0.023102191090583802
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,1,16,32,16,0.27586206896551724,10,0.22914461940526962,0.2712448418140411,-0.042100222408771516,0.010277739711817745,0.0,1.0,0.0,-0.06520241349935532,-0.03260120674967766,-0.0319679390390714,-0.030840723781600268
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,2,32,48,16,0.41379310344827586,10,0.19059696719050406,0.22609218955039978,-0.0354952223598957,0.01968883405737376,0.0,1.0,0.0,-0.10069763585925103,-0.03356587861975034,-0.03297573427359263,-0.03185876999806974
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,3,48,64,16,0.5517241379310345,10,0.2114642530679703,0.21674709171056747,-0.005282838642597198,0.013319219159857915,0.3,0.7,0.3,-0.10598047450184822,-0.026495118625462055,-0.027650177421478125,-0.028385794566335228
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,4,64,80,16,0.6896551724137931,10,0.22304464727640153,0.22020730823278428,0.0028373390436172486,0.009907678872506091,0.5,0.5,0.5,-0.10314313545823098,-0.020628627091646194,-0.023585175226132075,-0.025812578994448145
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,5,80,96,16,0.8275862068965517,10,0.29877103865146637,0.298748591542244,2.244710922241211e-05,0.006372677580244719,0.6,0.6,0.6,-0.10312068834900856,-0.017186781391501427,-0.021439027741099848,-0.02442767313731083
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,6,96,112,16,0.9655172413793104,10,0.18606753274798393,0.18845219165086746,-0.0023846589028835297,0.0009593978435017535,0.0,1.0,0.0,-0.10550534725189209,-0.015072192464556013,-0.020350206664630343,-0.023644407557118056
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,7,112,116,4,1.0,10,0.19367725253105164,0.20477740168571473,-0.011100149154663086,0.004060963032365847,0.0,1.0,0.0,-0.11660549640655518,-0.014575687050819398,-0.020093260622686807,-0.023345357554027234
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,0,0,16,16,0.125,10,0.36223419308662413,0.35139952301979066,0.010834670066833496,0.03368899722785845,0.6,0.6,0.6,0.010834670066833496,0.010834670066833496,0.010834670066833496,0.010834670066833496
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,1,16,32,16,0.25,10,0.26033793538808825,0.31382583230733874,-0.05348789691925049,0.013819395135321346,0.0,1.0,0.0,-0.042653226852416994,-0.021326613426208497,-0.019182527860005696,-0.015366059843290198
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,2,32,48,16,0.375,10,0.22399017065763474,0.26300218552350996,-0.039012014865875244,0.016409652881868582,0.0,1.0,0.0,-0.08166524171829223,-0.027221747239430744,-0.024848095575968423,-0.020537975709330886
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,3,48,64,16,0.5,10,0.22347421199083328,0.20467498600482942,0.018799225986003875,0.010590363716454223,1.0,1.0,1.0,-0.06286601573228835,-0.015716503933072088,-0.01645437989097375,-0.015397341756987749
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,4,64,80,16,0.625,10,0.2778569534420967,0.2833232969045639,-0.005466343462467193,0.012596436158117343,0.4,0.6,0.4,-0.06833235919475554,-0.013666471838951108,-0.014989308367172875,-0.014578890932189729
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,5,80,96,16,0.75,10,0.2561331704258919,0.2972186401486397,-0.041085469722747806,0.008947212834055404,0.0,1.0,0.0,-0.10941782891750335,-0.018236304819583892,-0.01736168667222514,-0.01599979587234383
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,6,96,112,16,0.875,10,0.24710069447755814,0.26263553351163865,-0.015534839034080506,0.0055755097951456145,0.0,1.0,0.0,-0.12495266795158386,-0.017850381135940552,-0.017257295378616876,-0.015983274325707158
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,7,112,128,16,1.0,10,0.22937574684619905,0.23094215840101243,-0.001566411554813385,0.0008958623544411576,0.0,1.0,0.0,-0.12651907950639724,-0.015814884938299655,-0.016821437494622334,-0.015639582198370878
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,0,0,16,16,0.10256410256410256,10,0.370594733953476,0.3603873461484909,0.010207387804985046,0.02879867305897878,0.6,0.6,0.6,0.010207387804985046,0.010207387804985046,0.010207387804985046,0.010207387804985046
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,1,16,32,16,0.20512820512820512,10,0.26973118633031845,0.27739123702049256,-0.007660050690174103,0.02347752492856725,0.3,0.7,0.3,0.002547337114810943,0.0012736685574054715,0.0017438643072780807,0.0026037656479626393
